ID,PATH,NAME,PARENT_ID
86,人教版-初中->八年级上->第十一章 三角形->11.1 与三角形有关的线段->11.1.2 三角形的高、中线与角平分线,11.1.2 三角形的高、中线与角平分线,84
87,人教版-初中->八年级上->第十一章 三角形->11.1 与三角形有关的线段->11.1.3 三角形的稳定性,11.1.3 三角形的稳定性,84
88,人教版-初中->八年级上->第十一章 三角形->11.2 与三角形有关的角,11.2 与三角形有关的角,83
89,人教版-初中->八年级上->第十一章 三角形->11.2 与三角形有关的角->11.2.1 三角形的内角,11.2.1 三角形的内角,88
90,人教版-初中->八年级上->第十一章 三角形->11.2 与三角形有关的角->11.2.2 三角形的外角,11.2.2 三角形的外角,88
91,人教版-初中->八年级上->第十一章 三角形->11.3 多边形及其内角和,11.3 多边形及其内角和,83
92,人教版-初中->八年级上->第十一章 三角形->11.3 多边形及其内角和->11.3.1 多边形,11.3.1 多边形,91
93,人教版-初中->八年级上->第十一章 三角形->11.3 多边形及其内角和->11.3.2 多边形的内角和,11.3.2 多边形的内角和,91
94,人教版-初中->八年级上->第十二章 全等三角形,第十二章 全等三角形,82
95,人教版-初中->八年级上->第十二章 全等三角形->12.1 全等三角形,12.1 全等三角形,94
96,人教版-初中->八年级上->第十二章 全等三角形->12.2 三角形全等的判定,12.2 三角形全等的判定,94
97,人教版-初中->八年级上->第十二章 全等三角形->12.3 角的平分线的性质,12.3 角的平分线的性质,94
98,人教版-初中->八年级上->第十三章 轴对称,第十三章 轴对称,82
99,人教版-初中->八年级上->第十三章 轴对称->13.1 轴对称,13.1 轴对称,98
100,人教版-初中->八年级上->第十三章 轴对称->13.1 轴对称->13.1.1 轴对称,13.1.1 轴对称,99
101,人教版-初中->八年级上->第十三章 轴对称->13.1 轴对称->13.1.2 线段的垂直平分线的性质,13.1.2 线段的垂直平分线的性质,99
102,人教版-初中->八年级上->第十三章 轴对称->13.2 画轴对称图形,13.2 画轴对称图形,98
103,人教版-初中->八年级上->第十三章 轴对称->13.3 等腰三角形,13.3 等腰三角形,98
104,人教版-初中->八年级上->第十三章 轴对称->13.3 等腰三角形->13.3.1 等腰三角形,13.3.1 等腰三角形,103
105,人教版-初中->八年级上->第十三章 轴对称->13.3 等腰三角形->13.3.2 等边三角形,13.3.2 等边三角形,103
106,人教版-初中->八年级上->第十三章 轴对称->13.4 课题学习 最短路径问题,13.4 课题学习 最短路径问题,98
107,人教版-初中->八年级上->第十四章 整式的乘法与因式分解,第十四章 整式的乘法与因式分解,82
108,人教版-初中->八年级上->第十四章 整式的乘法与因式分解->14.1 整式的乘法,14.1 整式的乘法,107
109,人教版-初中->八年级上->第十四章 整式的乘法与因式分解->14.1 整式的乘法->14.1.1 同底数幂的乘法,14.1.1 同底数幂的乘法,108
110,人教版-初中->八年级上->第十四章 整式的乘法与因式分解->14.1 整式的乘法->14.1.2 幂的乘方,14.1.2 幂的乘方,108
111,人教版-初中->八年级上->第十四章 整式的乘法与因式分解->14.1 整式的乘法->14.1.3 积的乘方,14.1.3 积的乘方,108
112,人教版-初中->八年级上->第十四章 整式的乘法与因式分解->14.1 整式的乘法->14.1.4 整式的乘法,14.1.4 整式的乘法,108
113,人教版-初中->八年级上->第十四章 整式的乘法与因式分解->14.2 乘法公式,14.2 乘法公式,107
114,人教版-初中->八年级上->第十四章 整式的乘法与因式分解->14.2 乘法公式->14.2.1 平方差公式,14.2.1 平方差公式,113
115,人教版-初中->八年级上->第十四章 整式的乘法与因式分解->14.2 乘法公式->14.2.2 完全平方公式,14.2.2 完全平方公式,113
116,人教版-初中->八年级上->第十四章 整式的乘法与因式分解->14.3 因式分解,14.3 因式分解,107
117,人教版-初中->八年级上->第十四章 整式的乘法与因式分解->14.3 因式分解->14.3.1 提取公因式,14.3.1 提取公因式,116
118,人教版-初中->八年级上->第十四章 整式的乘法与因式分解->14.3 因式分解->14.3.2 公式法,14.3.2 公式法,116
119,人教版-初中->八年级上->第十五章 分式,第十五章 分式,82
120,人教版-初中->八年级上->第十五章 分式->15.1 分式,15.1 分式,119
121,人教版-初中->八年级上->第十五章 分式->15.1 分式->15.1.1 从分数到分式,15.1.1 从分数到分式,120
122,人教版-初中->八年级上->第十五章 分式->15.1 分式->15.1.2 分式的基本性质,15.1.2 分式的基本性质,120
123,人教版-初中->八年级上->第十五章 分式->15.2 分式的运算,15.2 分式的运算,119
124,人教版-初中->八年级上->第十五章 分式->15.2 分式的运算->15.2.1 分式的乘除,15.2.1 分式的乘除,123
125,人教版-初中->八年级上->第十五章 分式->15.2 分式的运算->15.2.2 分式的加减,15.2.2 分式的加减,123
126,人教版-初中->八年级上->第十五章 分式->15.2 分式的运算->15.2.3整数指数幂,15.2.3整数指数幂,123
127,人教版-初中->八年级上->第十五章 分式->15.3 分式方程,15.3 分式方程,119
128,人教版-初中-> 八年级下, 八年级下,1
129,人教版-初中-> 八年级下->第十六章 二次根式,第十六章 二次根式,128
130,人教版-初中-> 八年级下->第十六章 二次根式->16.1 二次根式,16.1 二次根式,129
131,人教版-初中-> 八年级下->第十六章 二次根式->16.2 二次根式的乘除,16.2 二次根式的乘除,129
132,人教版-初中-> 八年级下->第十六章 二次根式->16.3 二次根式的加减,16.3 二次根式的加减,129
133,人教版-初中-> 八年级下->第十七章 勾股定理,第十七章 勾股定理,128
134,人教版-初中-> 八年级下->第十七章 勾股定理->17.1 勾股定理,17.1 勾股定理,133
135,人教版-初中-> 八年级下->第十七章 勾股定理->17.2 勾股定理的逆定理,17.2 勾股定理的逆定理,133
136,人教版-初中-> 八年级下->第十八章 平行四边形,第十八章 平行四边形,128
137,人教版-初中-> 八年级下->第十八章 平行四边形->18.1 平行四边形,18.1 平行四边形,136
138,人教版-初中-> 八年级下->第十八章 平行四边形->18.1 平行四边形->18.1.1 平行四边形,18.1.1 平行四边形,137
139,人教版-初中-> 八年级下->第十八章 平行四边形->18.1 平行四边形->18.1.2 平行四边形的判定,18.1.2 平行四边形的判定,137
140,人教版-初中-> 八年级下->第十八章 平行四边形->18.2 特殊的平行四边形,18.2 特殊的平行四边形,136
141,人教版-初中-> 八年级下->第十八章 平行四边形->18.2 特殊的平行四边形->18.2.1 矩形,18.2.1 矩形,140
142,人教版-初中-> 八年级下->第十八章 平行四边形->18.2 特殊的平行四边形->18.2.2 菱形,18.2.2 菱形,140
143,人教版-初中-> 八年级下->第十八章 平行四边形->18.2 特殊的平行四边形->18.2.3 正方形,18.2.3 正方形,140
144,人教版-初中-> 八年级下->第十九章 一次函数,第十九章 一次函数,128
145,人教版-初中-> 八年级下->第十九章 一次函数->19.1 函数,19.1 函数,144
146,人教版-初中-> 八年级下->第十九章 一次函数->19.1 函数->19.1.1 变量与函数,19.1.1 变量与函数,145
147,人教版-初中-> 八年级下->第十九章 一次函数->19.1 函数->19.1.2 函数的图象,19.1.2 函数的图象,145
148,人教版-初中-> 八年级下->第十九章 一次函数->19.2 一次函数,19.2 一次函数,144
149,人教版-初中-> 八年级下->第十九章 一次函数->19.2 一次函数->19.2.1 正比例函数,19.2.1 正比例函数,148
150,人教版-初中-> 八年级下->第十九章 一次函数->19.2 一次函数->19.2.2 一次函数,19.2.2 一次函数,148
151,人教版-初中-> 八年级下->第十九章 一次函数->19.2 一次函数->19.2.3 一次函数与方程、不等式,19.2.3 一次函数与方程、不等式,148
152,人教版-初中-> 八年级下->第十九章 一次函数->19.3 课题学习 选择方案,19.3 课题学习 选择方案,144
153,人教版-初中-> 八年级下->第二十章 数据的分析,第二十章 数据的分析,128
154,人教版-初中-> 八年级下->第二十章 数据的分析->20.1 数据的集中趋势,20.1 数据的集中趋势,153
155,人教版-初中-> 八年级下->第二十章 数据的分析->20.1 数据的集中趋势->20.1.1 平均数,20.1.1 平均数,154
156,人教版-初中-> 八年级下->第二十章 数据的分析->20.1 数据的集中趋势->20.1.2 中位数和众数,20.1.2 中位数和众数,154
157,人教版-初中-> 八年级下->第二十章 数据的分析->20.2 数据的波动程度,20.2 数据的波动程度,153
158,人教版-初中-> 八年级下->第二十章 数据的分析->20.3 课题学习 体质健康测试中的数据分析,20.3 课题学习 体质健康测试中的数据分析,153
159,人教版-初中->九年级上,九年级上,1
160,人教版-初中->九年级上->第二十一章 一元二次方程,第二十一章 一元二次方程,159
161,人教版-初中->九年级上->第二十一章 一元二次方程->21.1 一元二次方程,21.1 一元二次方程,160
162,人教版-初中->九年级上->第二十一章 一元二次方程->21.2 解一元二次方程,21.2 解一元二次方程,160
163,人教版-初中->九年级上->第二十一章 一元二次方程->21.2 解一元二次方程->21.2.1 配方法,21.2.1 配方法,162
164,人教版-初中->九年级上->第二十一章 一元二次方程->21.2 解一元二次方程->21.2.2 公式法,21.2.2 公式法,162
165,人教版-初中->九年级上->第二十一章 一元二次方程->21.2 解一元二次方程->21.2.3 因式分解法,21.2.3 因式分解法,162
166,人教版-初中->九年级上->第二十一章 一元二次方程->21.2 解一元二次方程->21.2.4 一元二次方程的根与系数的关系,21.2.4 一元二次方程的根与系数的关系,162
167,人教版-初中->九年级上->第二十一章 一元二次方程->21.3 实际问题与一元二次方程,21.3 实际问题与一元二次方程,160
168,人教版-初中->九年级上->第二十二章 二次函数,第二十二章 二次函数,159
169,人教版-初中->九年级上->第二十二章 二次函数->22.1 二次函数的图象和性质,22.1 二次函数的图象和性质,168
170,人教版-初中->九年级上->第二十二章 二次函数->22.1 二次函数的图象和性质->22.1.1 二次函数,22.1.1 二次函数,169
171,人教版-初中->九年级上->第二十二章 二次函数->22.1 二次函数的图象和性质->22.1.2 二次函数y=ax^2的图象和性质,22.1.2 二次函数y=ax^2的图象和性质,169
172,人教版-初中->九年级上->第二十二章 二次函数->22.1 二次函数的图象和性质->22.1.3 二次函数y=a(x-h)^2+k的图象和性质,22.1.3 二次函数y=a(x-h)^2+k的图象和性质,169
173,人教版-初中->九年级上->第二十二章 二次函数->22.1 二次函数的图象和性质->22.1.4 二次函数y=a^2+bx+c的图象和性质,22.1.4 二次函数y=a^2+bx+c的图象和性质,169
174,人教版-初中->九年级上->第二十二章 二次函数->22.2 二次函数与一元二次方程,22.2 二次函数与一元二次方程,168
175,人教版-初中->九年级上->第二十二章 二次函数->22.3 实际问题与二次函数,22.3 实际问题与二次函数,168
176,人教版-初中->九年级上->第二十三章 旋转,第二十三章 旋转,159
177,人教版-初中->九年级上->第二十三章 旋转->23.1 图形的旋转,23.1 图形的旋转,176
178,人教版-初中->九年级上->第二十三章 旋转->23.2 中心对称,23.2 中心对称,176
179,人教版-初中->九年级上->第二十三章 旋转->23.2 中心对称->23.2.1 中心对称,23.2.1 中心对称,178
180,人教版-初中->九年级上->第二十三章 旋转->23.2 中心对称->23.2.2 中心对称图形,23.2.2 中心对称图形,178
181,人教版-初中->九年级上->第二十三章 旋转->23.2 中心对称->23.2.3 关于原点对称的点的坐标,23.2.3 关于原点对称的点的坐标,178
182,人教版-初中->九年级上->第二十三章 旋转->23.3 课题学习 图案设计,23.3 课题学习 图案设计,176
183,人教版-初中->九年级上->第二十四章 圆,第二十四章 圆,159
184,人教版-初中->九年级上->第二十四章 圆->24.1 圆的有关性质,24.1 圆的有关性质,183
185,人教版-初中->九年级上->第二十四章 圆->24.1 圆的有关性质->24.1.1 圆,24.1.1 圆,184
186,人教版-初中->九年级上->第二十四章 圆->24.1 圆的有关性质->24.1.2 垂直于弦的直径,24.1.2 垂直于弦的直径,184
187,人教版-初中->九年级上->第二十四章 圆->24.1 圆的有关性质->24.1.3 弧、弦、圆心角,24.1.3 弧、弦、圆心角,184
188,人教版-初中->九年级上->第二十四章 圆->24.1 圆的有关性质->24.1.4 圆周角,24.1.4 圆周角,184
189,人教版-初中->九年级上->第二十四章 圆->24.2 点和圆、直线和圆的位置关系,24.2 点和圆、直线和圆的位置关系,183
190,人教版-初中->九年级上->第二十四章 圆->24.2 点和圆、直线和圆的位置关系->24.2.1 点和圆的位置关系,24.2.1 点和圆的位置关系,189
191,人教版-初中->九年级上->第二十四章 圆->24.2 点和圆、直线和圆的位置关系->24.2.2 直线和圆的位置关系,24.2.2 直线和圆的位置关系,189
192,人教版-初中->九年级上->第二十四章 圆->24.3 正多边形和圆,24.3 正多边形和圆,183
193,人教版-初中->九年级上->第二十四章 圆->24.4 弧长和扇形面积,24.4 弧长和扇形面积,183
194,人教版-初中->九年级上->第二十五章 概率初步,第二十五章 概率初步,159
195,人教版-初中->九年级上->第二十五章 概率初步->25.1 随机事件与概率,25.1 随机事件与概率,194
196,人教版-初中->九年级上->第二十五章 概率初步->25.1 随机事件与概率->25.1.1 随机事件,25.1.1 随机事件,195
197,人教版-初中->九年级上->第二十五章 概率初步->25.1 随机事件与概率->25.1.2 概率,25.1.2 概率,195
198,人教版-初中->九年级上->第二十五章 概率初步->25.2 用列举法求概率,25.2 用列举法求概率,194
199,人教版-初中->九年级上->第二十五章 概率初步->25.3 用频率估计概率,25.3 用频率估计概率,194
200,人教版-初中->九年级下,九年级下,1
201,人教版-初中->九年级下->第二十六章 反比例函数,第二十六章 反比例函数,200
202,人教版-初中->九年级下->第二十六章 反比例函数->26.1 反比例函数,26.1 反比例函数,201
203,人教版-初中->九年级下->第二十六章 反比例函数->26.1 反比例函数->26.1.1 反比例函数,26.1.1 反比例函数,202
204,人教版-初中->九年级下->第二十六章 反比例函数->26.1 反比例函数->26.1.2 反比例函数的图像和性质,26.1.2 反比例函数的图像和性质,202
205,人教版-初中->九年级下->第二十六章 反比例函数->26.2 实际问题与反比例函数,26.2 实际问题与反比例函数,201
206,人教版-初中->九年级下->第二十七章 相似,第二十七章 相似,200
207,人教版-初中->九年级下->第二十七章 相似->27.1 图形的相似,27.1 图形的相似,206
208,人教版-初中->九年级下->第二十七章 相似->27.2 相似三角形,27.2 相似三角形,206
209,人教版-初中->九年级下->第二十七章 相似->27.2 相似三角形->27.2.1 相似三角形的判定,27.2.1 相似三角形的判定,208
210,人教版-初中->九年级下->第二十七章 相似->27.2 相似三角形->27.2.2 相似三角形的性质,27.2.2 相似三角形的性质,208
211,人教版-初中->九年级下->第二十七章 相似->27.2 相似三角形->27.2.3 相似三角形应用举例,27.2.3 相似三角形应用举例,208
212,人教版-初中->九年级下->第二十七章 相似->27.3 位似,27.3 位似,206
213,人教版-初中->九年级下->第二十八章 锐角三角函数,第二十八章 锐角三角函数,200
214,人教版-初中->九年级下->第二十八章 锐角三角函数->28.1 锐角三角函数,28.1 锐角三角函数,213
215,人教版-初中->九年级下->第二十八章 锐角三角函数->28.2 解直角三角形及其应用,28.2 解直角三角形及其应用,213
216,人教版-初中->九年级下->第二十八章 锐角三角函数->28.2 解直角三角形及其应用->28.2.1 解直角三角形,28.2.1 解直角三角形,215
217,人教版-初中->九年级下->第二十八章 锐角三角函数->28.2 解直角三角形及其应用->28.2.2 应用举例,28.2.2 应用举例,215
218,人教版-初中->九年级下->第二十九章 投影与视图,第二十九章 投影与视图,200
219,人教版-初中->九年级下->第二十九章 投影与视图->29.1 投影,29.1 投影,218
220,人教版-初中->九年级下->第二十九章 投影与视图->29.2 三视图,29.2 三视图,218
221,人教版-初中->九年级下->第二十九章 投影与视图->29.3 课题学习 制作立体模型,29.3 课题学习 制作立体模型,218
222,苏教版-初中,苏教版-初中,
223,苏教版-初中->七年级上,七年级上,222
224,苏教版-初中->七年级上->第1章数学与我们同行,第1章数学与我们同行,223
225,苏教版-初中->七年级上->第1章数学与我们同行->1.1生活 数学,1.1生活 数学,224
226,苏教版-初中->七年级上->第1章数学与我们同行->1.2生活 思考,1.2生活 思考,224
227,苏教版-初中->七年级上->第2章 有理数,第2章 有理数,223
228,苏教版-初中->七年级上->第2章 有理数->2.1 正数与负数,2.1 正数与负数,227
229,苏教版-初中->七年级上->第2章 有理数->2.2 有理数与无理数,2.2 有理数与无理数,227
230,苏教版-初中->七年级上->第2章 有理数->2.3 数轴,2.3 数轴,227
231,苏教版-初中->七年级上->第2章 有理数->2.4 绝对值与相反数,2.4 绝对值与相反数,227
232,苏教版-初中->七年级上->第2章 有理数->2.5 有理数的加法与减法,2.5 有理数的加法与减法,227
233,苏教版-初中->七年级上->第2章 有理数->2.6 有理数的乘法与除法,2.6 有理数的乘法与除法,227
234,苏教版-初中->七年级上->第2章 有理数->2.7 有理数的乘方,2.7 有理数的乘方,227
235,苏教版-初中->七年级上->第2章 有理数->2.8 有理数的混合运算,2.8 有理数的混合运算,227
236,苏教版-初中->七年级上->第3章 代数式,第3章 代数式,223
237,苏教版-初中->七年级上->第3章 代数式->3.1 整式的概念-用字母表示数,3.1 整式的概念-用字母表示数,236
238,苏教版-初中->七年级上->第3章 代数式->3.2 整式的概念-代数式,3.2 整式的概念-代数式,236
239,苏教版-初中->七年级上->第3章 代数式->3.3 整式的概念-代数式的值,3.3 整式的概念-代数式的值,236
240,苏教版-初中->七年级上->第3章 代数式->3.4 整式的概念-整式,3.4 整式的概念-整式,236
241,苏教版-初中->七年级上->第3章 代数式->3.5 整式的加减-合并同类项,3.5 整式的加减-合并同类项,236
242,苏教版-初中->七年级上->第3章 代数式->3.6 整式的加减-整式的加减,3.6 整式的加减-整式的加减,236
243,苏教版-初中->七年级上->第4章 一元一次方程,第4章 一元一次方程,223
244,苏教版-初中->七年级上->第4章 一元一次方程->4.1 从问题到方程,4.1 从问题到方程,243
245,苏教版-初中->七年级上->第4章 一元一次方程->4.2 解一元一次方程,4.2 解一元一次方程,243
246,苏教版-初中->七年级上->第4章 一元一次方程->4.3 用一元一次方程解决问题,4.3 用一元一次方程解决问题,243
247,苏教版-初中->七年级上->第5章 走进图形世界,第5章 走进图形世界,223
248,苏教版-初中->七年级上->第5章 走进图形世界->5.1 丰富的图形世界,5.1 丰富的图形世界,247
249,苏教版-初中->七年级上->第5章 走进图形世界->5.2 图形的运动,5.2 图形的运动,247
250,苏教版-初中->七年级上->第5章 走进图形世界->5.3 展开与折叠,5.3 展开与折叠,247
251,苏教版-初中->七年级上->第5章 走进图形世界->5.4 主视图、左视图、俯视图,5.4 主视图、左视图、俯视图,247
252,苏教版-初中->七年级下,七年级下,222
253,苏教版-初中->七年级下->第6章 平面图形的认识（一）,第6章 平面图形的认识（一）,252
254,苏教版-初中->七年级下->第6章 平面图形的认识（一）->6.1 线段、射线、直线,6.1 线段、射线、直线,253
255,苏教版-初中->七年级下->第6章 平面图形的认识（一）->6.2 角,6.2 角,253
256,苏教版-初中->七年级下->第6章 平面图形的认识（一）->6.3 余角、补角、对顶角,6.3 余角、补角、对顶角,253
257,苏教版-初中->七年级下->第6章 平面图形的认识（一）->6.4 平行,6.4 平行,253
258,苏教版-初中->七年级下->第6章 平面图形的认识（一）->6.5 垂直,6.5 垂直,253
259,苏教版-初中->七年级下->第7章 平面图形的认识（二）,第7章 平面图形的认识（二）,252
260,苏教版-初中->七年级下->第7章 平面图形的认识（二）->7.1 探索直线平行的条件,7.1 探索直线平行的条件,259
